source_dataset,survey_year,respondent_id,age,age_band,female,education_level,census_region,household_size,underserved_200fpl,underserved_method,household_income_2020_usd,income_is_banded,financial_knowledge_score,savings_behavior_index,credit_behavior_index,spending_behavior_index,weight
cfpb_nfwbs_2016,2016,13180,,18-24,0.0,3,4,5,0.0,direct_PCTLT200FPL,72788.0,True,75.0,90.48,,77.08,0.9379121198635552
cfpb_nfwbs_2016,2016,7852,,18-24,1.0,3,3,4,1.0,direct_PCTLT200FPL,37742.0,True,58.33,63.17,,65.97,1.29257634075048
cfpb_nfwbs_2016,2016,11221,,18-24,0.0,2,4,5,0.0,direct_PCTLT200FPL,16175.0,True,50.0,11.43,,40.28,1.02519171409611
cfpb_nfwbs_2016,2016,8121,,18-24,1.0,3,3,2,0.0,direct_PCTLT200FPL,37742.0,True,50.0,38.41,,48.61,1.04518051687367
cfpb_nfwbs_2016,2016,11354,,18-24,0.0,3,4,5,1.0,direct_PCTLT200FPL,16175.0,True,66.67,69.84,,61.81,0.639515233996807
cfpb_nfwbs_2016,2016,12639,,18-24,1.0,5,3,2,0.0,direct_PCTLT200FPL,37742.0,True,100.0,95.24,,66.67,0.419506524917905
cfpb_nfwbs_2016,2016,12752,,18-24,1.0,1,2,4,1.0,direct_PCTLT200FPL,16175.0,True,33.33,71.11,,63.89,1.20301965346741
cfpb_nfwbs_2016,2016,7316,,18-24,1.0,3,3,4,0.0,direct_PCTLT200FPL,188711.0,True,41.67,85.71,,86.11,2.83348283675147
cfpb_nfwbs_2016,2016,13637,,18-24,1.0,3,2,3,1.0,direct_PCTLT200FPL,16175.0,True,66.67,31.43,,52.08,0.957562963550647
cfpb_nfwbs_2016,2016,9439,,18-24,0.0,4,1,2,0.0,direct_PCTLT200FPL,134793.0,True,91.67,85.71,,87.5,0.924148617842031
cfpb_nfwbs_2016,2016,13367,,18-24,1.0,2,2,4,0.0,direct_PCTLT200FPL,94355.0,True,41.67,52.06,,47.22,1.54724225368128
cfpb_nfwbs_2016,2016,13953,,18-24,0.0,2,3,2,1.0,direct_PCTLT200FPL,16175.0,True,41.67,9.52,,28.47,2.7203319814782
cfpb_nfwbs_2016,2016,8718,,18-24,1.0,4,2,2,0.0,direct_PCTLT200FPL,94355.0,True,83.33,74.29,,43.75,1.71311472298467
cfpb_nfwbs_2016,2016,11833,,18-24,0.0,3,4,2,0.0,direct_PCTLT200FPL,72788.0,True,75.0,47.62,,56.25,0.9379121198635552
cfpb_nfwbs_2016,2016,8720,,18-24,1.0,1,3,1,1.0,direct_PCTLT200FPL,16175.0,True,83.33,24.76,,54.86,1.0228727340472
cfpb_nfwbs_2016,2016,7857,,18-24,0.0,3,2,1,0.0,direct_PCTLT200FPL,16175.0,True,75.0,32.06,,36.11,0.467820874558452
cfpb_nfwbs_2016,2016,8721,,18-24,0.0,4,2,1,0.0,direct_PCTLT200FPL,26959.0,True,75.0,79.05,,59.72,0.407958533173383
cfpb_nfwbs_2016,2016,13052,,18-24,1.0,2,3,5,0.0,direct_PCTLT200FPL,72788.0,True,91.67,88.89,,81.25,1.34477499431097
cfpb_nfwbs_2016,2016,12421,,18-24,1.0,2,4,5,1.0,direct_PCTLT200FPL,16175.0,True,41.67,100.0,,65.28,0.593063879603539
cfpb_nfwbs_2016,2016,14293,,18-24,1.0,3,4,2,1.0,direct_PCTLT200FPL,188711.0,True,33.33,67.62,,52.78,2.42848636179796
cfpb_nfwbs_2016,2016,8955,,18-24,1.0,3,2,3,0.0,direct_PCTLT200FPL,188711.0,True,58.33,80.95,,70.14,3.74990320757893
cfpb_nfwbs_2016,2016,9443,,18-24,0.0,3,1,2,0.0,direct_PCTLT200FPL,26959.0,True,91.67,67.62,,62.5,1.0052205433625
cfpb_nfwbs_2016,2016,8723,,18-24,1.0,3,2,2,0.0,direct_PCTLT200FPL,72788.0,True,75.0,79.05,,64.58,1.16807222064516
cfpb_nfwbs_2016,2016,10557,,18-24,0.0,4,3,1,0.0,direct_PCTLT200FPL,94355.0,True,83.33,74.6,,75.69,0.91484217551825
cfpb_nfwbs_2016,2016,10558,,18-24,1.0,3,2,5,0.0,direct_PCTLT200FPL,188711.0,True,75.0,56.51,,50.0,2.35407141842184
cfpb_nfwbs_2016,2016,14187,,18-24,1.0,3,3,2,0.0,direct_PCTLT200FPL,59309.0,True,83.33,0.0,,27.78,1.40604028789898
