source_dataset,survey_year,respondent_id,age,age_band,female,education_level,census_region,household_size,underserved_200fpl,underserved_method,lives_in_parents_home,household_income_2020_usd,income_is_banded,financial_knowledge_score,savings_behavior_index,credit_behavior_index,spending_behavior_index,weight
nfcs_2021,2021,2021010019,,18-24,0.0,3,4,1,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,7163.0,True,40.0,50.0,0.0,62.5,0.459445044
nfcs_2021,2021,2021010034,,18-24,1.0,3,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,83574.0,True,20.0,0.0,33.33,100.0,1.033049003
nfcs_2021,2021,2021010157,,18-24,1.0,2,2,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,28654.0,True,0.0,0.0,0.0,62.5,1.555749201
nfcs_2021,2021,2021010199,,18-24,0.0,3,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,119391.0,True,100.0,50.0,0.0,62.5,0.529004733
nfcs_2021,2021,2021010200,,18-24,1.0,2,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,40593.0,True,0.0,0.0,0.0,87.5,0.455443955
nfcs_2021,2021,2021010313,,18-24,1.0,1,3,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,7163.0,True,0.0,0.0,0.0,62.5,1.506532314
nfcs_2021,2021,2021010323,,18-24,0.0,4,4,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,119391.0,True,40.0,100.0,33.33,62.5,0.705062882
nfcs_2021,2021,2021010325,,18-24,1.0,3,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,28654.0,True,40.0,50.0,33.33,100.0,0.807538255
nfcs_2021,2021,2021010328,,18-24,0.0,2,2,4,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,40593.0,True,20.0,50.0,66.67,0.0,0.613384041
nfcs_2021,2021,2021010357,,18-24,1.0,5,3,1,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,7163.0,True,40.0,0.0,33.33,100.0,0.652187823
nfcs_2021,2021,2021010363,,18-24,1.0,4,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,83574.0,True,40.0,100.0,100.0,100.0,0.967394064
nfcs_2021,2021,2021010368,,18-24,0.0,2,1,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,28654.0,True,20.0,100.0,100.0,62.5,2.977699102
nfcs_2021,2021,2021010381,,18-24,0.0,4,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,40593.0,True,20.0,50.0,0.0,50.0,1.173337149
nfcs_2021,2021,2021010393,,18-24,1.0,5,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,83574.0,True,20.0,50.0,66.67,75.0,1.010178697
nfcs_2021,2021,2021010413,,18-24,1.0,4,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,59695.0,True,60.0,50.0,0.0,87.5,0.652187823
nfcs_2021,2021,2021010429,,18-24,1.0,3,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,119391.0,True,60.0,50.0,33.33,100.0,1.879113241
nfcs_2021,2021,2021010440,,18-24,0.0,2,1,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,7163.0,True,20.0,0.0,33.33,0.0,2.465286763
nfcs_2021,2021,2021010459,,18-24,1.0,4,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,59695.0,True,60.0,100.0,33.33,87.5,1.46960763
nfcs_2021,2021,2021010467,,18-24,0.0,3,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,119391.0,True,40.0,100.0,33.33,87.5,1.680474084
nfcs_2021,2021,2021010507,,18-24,1.0,2,1,3,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,19103.0,True,20.0,50.0,0.0,87.5,1.830500761
nfcs_2021,2021,2021010523,,18-24,0.0,2,4,3,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,19103.0,True,40.0,50.0,0.0,50.0,3.755319157
nfcs_2021,2021,2021010537,,18-24,1.0,4,1,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,28654.0,True,80.0,100.0,0.0,50.0,0.306765812
nfcs_2021,2021,2021010604,,18-24,0.0,2,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,28654.0,True,60.0,50.0,0.0,62.5,1.50914216
nfcs_2021,2021,2021010614,,18-24,0.0,3,2,5,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,167147.0,True,20.0,50.0,66.67,87.5,1.807025171
nfcs_2021,2021,2021010627,,18-24,1.0,2,3,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,28654.0,True,20.0,0.0,33.33,37.5,1.299288327
nfcs_2021,2021,2021010668,,18-24,1.0,2,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,28654.0,True,20.0,100.0,0.0,50.0,1.341734763
nfcs_2021,2021,2021010669,,18-24,1.0,3,1,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,19103.0,True,80.0,50.0,0.0,0.0,0.379837096
nfcs_2021,2021,2021010688,,18-24,1.0,2,3,2,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,19103.0,True,40.0,50.0,33.33,62.5,0.807538255
nfcs_2021,2021,2021010689,,18-24,0.0,2,4,1,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,19103.0,True,60.0,50.0,0.0,87.5,1.469934641
nfcs_2021,2021,2021010696,,18-24,1.0,2,2,1,1.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,7163.0,True,0.0,0.0,33.33,75.0,1.341734763
