source_dataset,survey_year,respondent_id,age,age_band,female,race_ethnicity,education_level,census_region,household_size,household_income_2020_usd,income_is_banded,underserved_200fpl,underserved_method,pov_ratio,savings_behavior_index,financial_knowledge_score,credit_behavior_index,spending_behavior_index,net_worth_2020_usd,financial_assets_age20_2020_usd,debt_age20_2020_usd,asvab_math_verbal_pctile,asvab_math_knowledge,ap_econ_score,sample_type,weight
nlsy97_1997cohort,2001,1,20,18-24,1.0,4,2.0,1.0,6.0,266025.0,False,0.0,CV_HH_POV_RATIO<=200pct,7.18,0.0,,,,3757.0,0.0,0.0,45.07,1.057,,1,323197
nlsy97_1997cohort,2002,2,20,18-24,0.0,2,2.0,1.0,4.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,,0.0,2923.0,58.48,0.296,,1,272178
nlsy97_1997cohort,2003,3,20,18-24,1.0,2,2.0,1.0,3.0,,False,,CV_HH_POV_RATIO<=200pct,,100.0,,,,6114.0,2557.0,0.0,27.98,,,1,169357
nlsy97_1997cohort,2001,4,20,18-24,1.0,2,2.0,1.0,2.0,31562.0,False,1.0,CV_HH_POV_RATIO<=200pct,1.82,100.0,,,,,16.0,0.0,37.01,0.998,,1,149099
nlsy97_1997cohort,2002,5,20,18-24,0.0,2,2.0,1.0,4.0,103028.0,False,0.0,CV_HH_POV_RATIO<=200pct,3.86,100.0,,,,16806.0,13152.0,0.0,,,,1,245150
nlsy97_1997cohort,2002,6,20,18-24,1.0,2,2.0,1.0,6.0,0.0,False,1.0,CV_HH_POV_RATIO<=200pct,0.0,,,,,,0.0,0.0,22.0,,,1,218371
nlsy97_1997cohort,2003,7,20,18-24,0.0,2,,,,,False,,CV_HH_POV_RATIO<=200pct,,,,,,,0.0,0.0,3.58,,,1,232055
nlsy97_1997cohort,2001,8,20,18-24,1.0,4,2.0,1.0,5.0,96190.0,False,0.0,CV_HH_POV_RATIO<=200pct,2.99,0.0,,,,3757.0,0.0,0.0,,,,1,291103
nlsy97_1997cohort,2002,9,20,18-24,0.0,4,2.0,1.0,4.0,0.0,False,1.0,CV_HH_POV_RATIO<=200pct,0.0,0.0,,,,3653.0,0.0,0.0,,,,1,313027
nlsy97_1997cohort,2004,10,20,18-24,0.0,4,2.0,1.0,1.0,105494.0,False,0.0,CV_HH_POV_RATIO<=200pct,7.83,0.0,,,,,0.0,0.0,,,,1,322580
nlsy97_1997cohort,2002,11,20,18-24,1.0,2,2.0,1.0,2.0,50052.0,False,0.0,CV_HH_POV_RATIO<=200pct,2.89,0.0,,,,5115.0,0.0,20459.0,30.58,0.283,,1,218371
nlsy97_1997cohort,2001,12,20,18-24,0.0,2,1.0,1.0,4.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,112723.0,0.0,0.0,,,,1,262572
nlsy97_1997cohort,2004,13,20,18-24,0.0,2,1.0,1.0,4.0,14980.0,False,1.0,CV_HH_POV_RATIO<=200pct,0.57,0.0,,,,,0.0,731.0,67.53,,,1,225943
nlsy97_1997cohort,2000,14,20,18-24,0.0,2,,,,,False,,CV_HH_POV_RATIO<=200pct,,,,,,,,,,,,1,277820
nlsy97_1997cohort,2003,15,20,18-24,1.0,2,2.0,1.0,3.0,17264.0,False,1.0,CV_HH_POV_RATIO<=200pct,0.83,,,,,,731.0,0.0,26.02,,,1,225405
nlsy97_1997cohort,2002,16,20,18-24,0.0,2,2.0,1.0,2.0,,False,,CV_HH_POV_RATIO<=200pct,,,,,,,0.0,0.0,44.45,0.73,,1,99849
nlsy97_1997cohort,2001,17,20,18-24,1.0,2,,,,,False,,CV_HH_POV_RATIO<=200pct,,,,,,,219.0,0.0,30.81,0.026,,1,80825
nlsy97_1997cohort,2002,18,20,18-24,0.0,1,1.0,1.0,5.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,,0.0,0.0,9.34,,,1,96678
nlsy97_1997cohort,2004,19,20,18-24,0.0,1,,1.0,6.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,,0.0,0.0,8.33,,,1,112435
nlsy97_1997cohort,2000,20,20,18-24,0.0,1,1.0,1.0,3.0,3107.0,False,1.0,CV_HH_POV_RATIO<=200pct,0.15,0.0,,,,26720.0,0.0,438.0,11.02,,,1,116518
nlsy97_1997cohort,2002,21,20,18-24,0.0,2,1.0,1.0,3.0,81837.0,False,0.0,CV_HH_POV_RATIO<=200pct,4.04,0.0,,,,,0.0,8768.0,3.5,,,1,99849
nlsy97_1997cohort,2002,22,20,18-24,0.0,2,,1.0,2.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,10960.0,0.0,0.0,10.44,,,1,99849
nlsy97_1997cohort,2003,23,20,18-24,1.0,2,2.0,3.0,2.0,35966.0,False,0.0,CV_HH_POV_RATIO<=200pct,2.08,,,,,,0.0,7307.0,6.42,,,1,91807
nlsy97_1997cohort,2004,24,20,18-24,0.0,2,1.0,1.0,4.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,,0.0,0.0,6.12,,,1,99444
nlsy97_1997cohort,2003,25,20,18-24,1.0,2,1.0,1.0,5.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,3597.0,0.0,0.0,5.4,,,1,99208
