source_dataset,survey_year,respondent_id,age,age_band,female,education_level,census_region,household_size,underserved_200fpl,underserved_method,lives_in_parents_home,household_income_2020_usd,income_is_banded,financial_knowledge_score,savings_behavior_index,credit_behavior_index,spending_behavior_index,weight
nfcs_2018,2018,2018010611,,18-24,1.0,3,1,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,20.0,50.0,33.33,100.0,1.89451679
nfcs_2018,2018,2018010752,,18-24,0.0,1,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,40.0,50.0,0.0,100.0,1.31357158
nfcs_2018,2018,2018011383,,18-24,1.0,2,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,60.0,100.0,0.0,100.0,1.27863795
nfcs_2018,2018,2018011903,,18-24,0.0,4,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,0.0,100.0,33.33,100.0,1.29021919
nfcs_2018,2018,2018011906,,18-24,1.0,3,4,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,60.0,100.0,0.0,87.5,0.58363315
nfcs_2018,2018,2018012088,,18-24,1.0,3,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,40.0,50.0,33.33,100.0,1.61586223
nfcs_2018,2018,2018012216,,18-24,0.0,3,4,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,0.0,100.0,33.33,50.0,1.03244517
nfcs_2018,2018,2018012227,,18-24,0.0,3,4,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,60.0,100.0,0.0,50.0,0.70875238
nfcs_2018,2018,2018012324,,18-24,1.0,3,4,2,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,20.0,0.0,100.0,37.5,0.40065216
nfcs_2018,2018,2018012358,,18-24,0.0,4,1,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,40.0,100.0,66.67,75.0,0.42301658
nfcs_2018,2018,2018012636,,18-24,1.0,2,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,0.0,100.0,0.0,37.5,1.19804176
nfcs_2018,2018,2018013514,,18-24,1.0,3,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,80.0,50.0,0.0,50.0,1.64230735
nfcs_2018,2018,2018013762,,18-24,1.0,3,3,3,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,100.0,100.0,33.33,100.0,2.48839943
nfcs_2018,2018,2018014734,,18-24,0.0,3,1,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),1,180369.0,True,60.0,100.0,33.33,87.5,0.53267594
nfcs_2018,2018,2018016051,,18-24,1.0,5,4,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,40.0,100.0,100.0,50.0,1.41818755
nfcs_2018,2018,2018018796,,18-24,0.0,5,2,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,60.0,100.0,33.33,100.0,2.82848019
nfcs_2018,2018,2018018895,,18-24,0.0,3,3,1,0.0,income_band_midpoint_vs_200fpl_by_hhsize(coarse),0,180369.0,True,60.0,100.0,33.33,0.0,1.20680219
