source_dataset,survey_year,respondent_id,age,age_band,female,race_ethnicity,education_level,census_region,household_size,household_income_2020_usd,income_is_banded,underserved_200fpl,underserved_method,pov_ratio,savings_behavior_index,financial_knowledge_score,credit_behavior_index,spending_behavior_index,net_worth_2020_usd,financial_assets_age20_2020_usd,debt_age20_2020_usd,asvab_math_verbal_pctile,asvab_math_knowledge,ap_econ_score,sample_type,weight
nlsy97_1997cohort,2001,32,20,18-24,1.0,4,2.0,1.0,3.0,429556.0,False,0.0,CV_HH_POV_RATIO<=200pct,17.2,100.0,,,,57263.0,877.0,0.0,39.95,0.901,,1,253941
nlsy97_1997cohort,2001,69,20,18-24,1.0,1,2.0,1.0,4.0,,False,,CV_HH_POV_RATIO<=200pct,,0.0,,,,375743.0,0.0,0.0,81.32,1.024,,1,100771
nlsy97_1997cohort,2004,87,20,18-24,0.0,2,2.0,1.0,1.0,0.0,False,1.0,CV_HH_POV_RATIO<=200pct,0.0,,,,,,10230.0,43842.0,75.58,0.395,,1,238852
nlsy97_1997cohort,2003,105,20,18-24,0.0,4,2.0,1.0,6.0,370733.0,False,0.0,CV_HH_POV_RATIO<=200pct,14.2,0.0,,,,,0.0,23382.0,74.88,,,1,267691
nlsy97_1997cohort,2004,108,20,18-24,0.0,4,2.0,1.0,5.0,592688.0,False,0.0,CV_HH_POV_RATIO<=200pct,26.27,0.0,,,,,21921.0,0.0,83.76,,,1,300806
nlsy97_1997cohort,2002,114,20,18-24,1.0,4,2.0,1.0,4.0,204594.0,False,0.0,CV_HH_POV_RATIO<=200pct,7.66,100.0,,,,353788.0,132.0,11691.0,65.34,0.502,,1,298098
nlsy97_1997cohort,2000,129,20,18-24,1.0,4,2.0,1.0,4.0,420285.0,False,0.0,CV_HH_POV_RATIO<=200pct,16.89,100.0,,,,11962.0,292.0,0.0,61.98,1.934,,1,324159
nlsy97_1997cohort,2004,138,20,18-24,0.0,4,2.0,1.0,1.0,592688.0,False,0.0,CV_HH_POV_RATIO<=200pct,26.27,0.0,,,,,0.0,0.0,60.42,,,1,297033
nlsy97_1997cohort,2000,200,20,18-24,0.0,4,2.0,1.0,2.0,420285.0,False,0.0,CV_HH_POV_RATIO<=200pct,16.89,100.0,,,,12327.0,636.0,0.0,,,,1,310954
nlsy97_1997cohort,2003,205,20,18-24,1.0,4,,1.0,3.0,,False,,CV_HH_POV_RATIO<=200pct,,100.0,,,,692704.0,438415.0,33612.0,33.51,,,1,287171
nlsy97_1997cohort,2000,216,20,18-24,1.0,2,1.0,1.0,3.0,69907.0,False,0.0,CV_HH_POV_RATIO<=200pct,3.36,100.0,,,,31070.0,731.0,40919.0,60.5,0.113,,1,108227
nlsy97_1997cohort,2004,221,20,18-24,1.0,4,2.0,1.0,4.0,592688.0,False,0.0,CV_HH_POV_RATIO<=200pct,26.27,100.0,,,,,5480.0,40919.0,82.21,0.154,,1,287584
nlsy97_1997cohort,2004,230,20,18-24,0.0,2,2.0,1.0,4.0,136790.0,False,0.0,CV_HH_POV_RATIO<=200pct,5.04,100.0,,,,,731.0,141754.0,62.12,,,1,107825
nlsy97_1997cohort,2004,236,20,18-24,1.0,2,2.0,1.0,3.0,592688.0,False,0.0,CV_HH_POV_RATIO<=200pct,26.27,100.0,,,,,7599.0,0.0,76.94,,,1,103608
nlsy97_1997cohort,2003,237,20,18-24,0.0,4,2.0,1.0,6.0,258955.0,False,0.0,CV_HH_POV_RATIO<=200pct,6.97,0.0,,,,327290.0,0.0,0.0,58.78,,,1,270454
nlsy97_1997cohort,2002,258,20,18-24,0.0,4,2.0,1.0,2.0,35073.0,False,0.0,CV_HH_POV_RATIO<=200pct,2.02,100.0,,,,215554.0,189980.0,0.0,42.37,0.565,,1,289450
nlsy97_1997cohort,2002,264,20,18-24,0.0,4,1.0,1.0,4.0,391563.0,False,0.0,CV_HH_POV_RATIO<=200pct,15.21,100.0,,,,4384.0,731.0,0.0,57.52,1.104,,1,280651
